VOC,Kitti,Toy_data,Deformation_data,Rotation_data,Translation_data,Scale_data,Pretrained,Accuracy
1,0,0,0,0,0,0,1,0.476
1,0,0,0,0,0,0,0,0.1456
0,1,0,0,0,0,0,1,0.1048
0,1,0,0,0,0,0,0,0.0415
0,0,1,0,0,0,0,1,0.8037
0,0,1,0,0,0,0,0,0.7449
0,0,0,1,0,0,0,1,0.9117
0,0,0,1,0,0,0,0,0.8997
0,0,0,0,1,0,0,1,0.6133
0,0,0,0,1,0,0,0,0.6766
0,0,0,0,0,1,0,1,0.8459
0,0,0,0,0,1,0,0,0.8414
0,0,0,0,0,0,1,1,0.6412
0,0,0,0,0,0,1,0,0.6415
